Date,Open,High,Low,Close,Volume
12/29/1972,2.16,2.16,2.16,2.16,0
12/31/1973,0.88,0.89,0.86,0.88,1881248
12/31/1974,0.41,0.41,0.39,0.41,3156492
12/31/1975,0.97,0.98,0.97,0.97,1099965
12/31/1976,0.95,0.98,0.95,0.95,1634177
12/30/1977,0.82,0.83,0.82,0.82,1526488
12/29/1978,0.82,0.83,0.82,0.82,1898325
12/31/1979,0.92,0.92,0.91,0.92,2896414
12/31/1980,1.05,1.06,1.04,1.05,5098080
12/31/1981,1.07,1.07,1.07,1.07,1599877
12/31/1982,1.29,1.3,1.29,1.29,1834722
12/30/1983,1.08,1.09,1.08,1.08,6389725
12/31/1984,1.24,1.24,1.22,1.22,4579466
12/31/1985,2.31,2.32,2.27,2.31,4780062
12/31/1986,3.53,3.55,3.46,3.53,23199448
12/31/1987,4.84,4.86,4.78,4.84,5768365
12/30/1988,5.48,5.48,5.38,5.38,2605305
12/29/1989,9.16,9.39,9.16,9.16,7658129
12/31/1990,8.3,8.36,8.22,8.3,2094029
12/31/1991,9.36,9.43,9.24,9.36,5961623
12/31/1992,14.06,14.39,14.06,14.06,2258236
12/31/1993,13.94,14.39,13.94,13.94,2014218
12/30/1994,15.11,15.25,15.04,15.04,2641999
12/29/1995,19.4,19.42,19.17,19.25,3141044
12/31/1996,22.87,23.06,22.69,22.81,2733429
12/31/1997,32.39,32.78,32.27,32.38,4117421
12/31/1998,29.31,29.55,29,29.43,5683764
12/31/1999,28.51,28.82,28.27,28.7,2962362
12/29/2000,28.26,28.57,27.9,28.39,4653262
12/31/2001,20.55,20.85,20.16,20.33,7613892
12/31/2002,15.65,16.14,15.52,16,6047345
12/31/2003,22.87,23.01,22.75,22.89,4617791
12/31/2004,27.45,27.47,27.23,27.27,2340493
12/30/2005,23.69,23.73,23.5,23.52,7376601
12/29/2006,33.77,33.96,33.62,33.62,9740844
12/31/2007,32.42,32.52,32.24,32.28,5447879
12/31/2008,22.57,22.95,22.52,22.69,8821106
12/31/2009,32.27,32.75,32.22,32.25,19652105
12/31/2010,37.37,37.6,37.21,37.51,3650797
12/30/2011,37.73,37.8,37.36,37.5,4776071
12/31/2012,48.89,49.8,48.8,49.79,10224498
12/31/2013,76.28,76.5,75.81,76.4,4692382
12/31/2014,95.13,95.52,94.03,94.19,4797034
12/31/2015,106.14,106.31,105.06,105.08,6669453
12/30/2016,104.57,105,103.96,104.22,6982680
12/29/2017,108.05,108.34,107.51,107.51,4508242
12/31/2018,109.11,109.67,107.55,109.65,7241715
12/31/2019,143.67,144.77,143.26,144.63,5663965
6/18/2020,116.88,118.53,115.93,118.37,9562491
