,Highest Stock Price,Revenue,0
Jun-90,10.77,1539.5,
Sep-90,11,1712.3,
Dec-90,8.67,1492.4,
Mar-91,10.41,1439,
Jun-91,10.08,1511.6,
Sep-91,9.99,1739.4,
Dec-91,9.87,1936.6,
Mar-92,12.73,1655.1,
Jun-92,13.37,1853.5,
Sep-92,12.14,2058.8,
Dec-92,14.47,2391.4,
Mar-93,15.57,2026.5,
Jun-93,14.55,1936.8,
Sep-93,13.33,2174.6,
Dec-93,14.63,2727.3,
Mar-94,15.7,2275.8,
Jun-94,14.76,2353.6,
Sep-94,14.31,2698.4,
Dec-94,15.25,3301.7,
Mar-95,18.35,2922.8,
Jun-95,19.46,2764,
Sep-95,20.11,3162.5,
Dec-95,20.56,3818,
Mar-96,22.81,4543,
Jun-96,21.46,5087,
Sep-96,20.81,5272,
Dec-96,24.85,6278,
Mar-97,25.55,5481,
Jun-97,27.63,5194,
Sep-97,26.47,5520,
Dec-97,32.38,6339,
Mar-98,37.57,5242,
Jun-98,41.57,5248,
Sep-98,39.12,6147,
Dec-98,32.93,6597,
Mar-99,37.04,5516,
Jun-99,34.77,5531,
Sep-99,29.43,5791,
Dec-99,28.76,6940,
Mar-00,40.78,6307,
Jun-00,42.49,6053,
Sep-00,41.63,6118,
Dec-00,40.59,7433,
1-Mar,32.74,6049,
1-Jun,33.88,5960,
1-Sep,28.2,5786,
1-Dec,22.11,7016,
2-Mar,24.05,5856,
2-Jun,24.48,5795,
2-Sep,19.42,6662,
2-Dec,19.51,7170,
3-Mar,18.39,6500,
3-Jun,20.88,6377,
3-Sep,22.13,7014,
3-Dec,23.04,8549,
4-Mar,27.47,7189,
4-Jun,26.09,7471,
4-Sep,24.8,7543,
4-Dec,27.46,8666,
5-Mar,29.31,7829,
5-Jun,28.16,7715,
5-Sep,25.88,7164,
5-Dec,25.57,8854,
6-Mar,28.21,8027,
6-Jun,30.16,8474,
6-Sep,30.48,8652,
6-Dec,34.19,9581,
7-Mar,35.17,7954,
7-Jun,35.86,9045,
7-Sep,35.03,8930,
7-Dec,35.47,10452,
8-Mar,33.1,8710,
8-Jun,34.99,9236,
8-Sep,34.39,9445,
8-Dec,30.68,9599,
9-Mar,24.31,8087,
9-Jun,25.87,8596,
9-Sep,28.46,9867,
9-Dec,32.43,9739,
10-Mar,35.31,8580,
10-Jun,37.56,10002,
10-Sep,35.29,9742,
10-Dec,37.95,10716,
11-Mar,44.07,9077,
11-Jun,43.91,10675,
11-Sep,40.74,10425,
11-Dec,37.71,10779,
12-Mar,44.38,9629,
12-Jun,48.5,11088,
12-Sep,52.92,10782,
12-Dec,52.97,11341,
13-Mar,57.75,10554,
13-Jun,67.67,11578,
13-Sep,67.11,11568,
13-Dec,76.4,12309,
14-Mar,83.34,11649,
14-Jun,85.74,12466,
14-Sep,90.94,12389,
14-Dec,95.5,13391,
15-Mar,108.43,12461,
15-Jun,114.99,13101,
15-Sep,121.69,13512,
15-Dec,120.07,15244,
16-Mar,105.08,12969,
16-Jun,106.6,14277,
16-Sep,100.2,13142,
16-Dec,105.56,14784,
17-Mar,113.39,13336,
17-Jun,115.84,14238,
17-Sep,110.61,12779,
17-Dec,111.81,15351,
18-Mar,112.47,14548,
18-Jun,108.85,15229,
18-Sep,116.94,14306,
18-Dec,118.9,15303,
19-Mar,115.25,14922,
19-Jun,142.02,20245,
19-Sep,146.39,19100,
19-Dec,151.64,20858,
20-Mar,148.2,18009,
